 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,image.tiff:0262-0007,185,123.432,19.607,114,99,203,8.273,261.673,8.641,261.545,64.641,0,256,20,13,20.357,11.571,6.106,0.556,26.249,22835.000,117,1.835,2.057,0,22835.000,1,-5,267,17.745,13.000,1.759,0.568,0.710
2,image.tiff:0288-0025,275,120.760,11.780,113,101,155,26.013,288.518,25.971,288.363,64.637,14,280,23,16,24.894,14.065,22.262,0.827,25.554,33209.000,119,0.647,0.685,0,33209.000,1,14,295,30.579,15.038,1.770,0.565,0.937
3,image.tiff:0267-0059,256,125.832,13.951,114,102,174,59.625,268.051,59.640,268.157,61.870,48,260,22,15,23.519,13.859,12.996,0.840,23.770,32213.000,124,0.340,4.661,0,32213.000,1,48,272,22.249,14.068,1.697,0.589,0.933
4,image.tiff:0307-0064,398,120.304,16.303,108,94,191,64.691,306.736,64.485,306.731,75.345,51,297,26,20,25.869,19.589,170.020,0.881,26.683,47881.000,115,1.860,-1.776,0,47881.000,1,51,306,167.005,20.000,1.321,0.757,0.936
5,image.tiff:0276-0095,219,136.466,19.008,132,98,186,94.445,275.578,94.317,275.661,57.692,85,269,20,15,19.779,14.097,179.545,0.827,20.881,29886.000,136,0.312,1.251,0,29886.000,1,85,272,163.301,15.000,1.403,0.713,0.903
6,image.tiff:0365-0005,232,121.414,10.794,114,96,151,5.612,364.767,5.501,364.794,63.897,0,354,13,22,21.882,13.499,90.796,0.714,23.409,28168.000,121,-0.364,6.487,0,28168.000,1,-1,376,70.017,15.000,1.621,0.617,0.814
7,image.tiff:0404-0009,307,130.528,17.306,132,101,191,8.754,405.060,8.844,404.828,64.674,0,395,18,19,20.884,18.717,121.197,0.922,23.431,40072.000,130,0.866,-0.843,0,40072.000,1,2,396,129.806,18.000,1.116,0.896,0.968
8,image.tiff:0402-0028,397,126.234,13.585,116,95,166,28.321,402.802,28.413,402.426,83.207,20,386,17,33,34.174,14.791,81.685,0.721,34.205,50115.000,125,0.019,2.056,0,50115.000,1,23,419,74.745,16.169,2.310,0.433,0.910
9,image.tiff:0378-0045,130,107.492,20.645,91,84,183,44.992,378.423,45.277,378.334,43.042,37,373,16,11,15.602,10.609,165.974,0.882,16.763,13974.000,101,1.777,0.467,0,13974.000,1,37,376,162.646,11.000,1.471,0.680,0.929
10,image.tiff:0393-0052,146,119.014,10.719,115,98,159,52.130,393.322,52.042,393.382,44.111,45,387,14,13,14.586,12.745,30.330,0.943,15.620,17376.000,117,2.231,-24.640,0,17376.000,1,47,399,50.194,13.000,1.144,0.874,0.936
11,image.tiff:0363-0063,186,124.763,11.983,121,100,160,63.484,362.290,63.327,362.174,51.107,55,356,17,14,17.086,13.861,178.091,0.895,18.028,23206.000,124,-0.581,10.383,0,23206.000,1,55,365,19.440,14.000,1.233,0.811,0.935
12,image.tiff:0421-0044,283,127.102,13.795,132,93,163,43.935,420.405,43.791,420.395,62.975,35,411,19,20,19.726,18.266,63.953,0.897,21.190,35970.000,128,-0.070,-0.622,0,35970.000,1,41,431,70.710,19.000,1.080,0.926,0.939
13,image.tiff:0434-0062,201,122.920,11.515,118,101,161,63.480,435.674,63.304,435.777,62.425,50,428,25,13,25.974,9.853,15.634,0.648,25.962,24707.000,121,1.972,-16.635,0,24707.000,1,50,439,15.642,11.420,2.636,0.379,0.878
14,image.tiff:0349-0092,120,139.175,8.172,142,120,158,91.425,349.667,91.351,349.639,41.395,86,343,12,13,12.599,12.127,49.478,0.880,14.318,16701.000,140,-0.798,18.682,0,16701.000,1,87,356,65.225,12.000,1.039,0.962,0.923
15,image.tiff:0332-0101,207,141.208,8.720,138,120,172,102.679,331.254,102.637,331.286,56.216,94,322,15,20,19.807,13.307,106.394,0.823,20.396,29230.000,140,1.411,-15.794,0,29230.000,1,102,322,101.310,14.316,1.488,0.672,0.914
16,image.tiff:0329-0136,328,131.823,13.855,125,97,163,135.677,328.091,135.807,327.845,77.705,124,317,25,24,30.359,13.756,47.263,0.683,32.558,43238.000,133,0.299,-6.879,0,43238.000,1,125,340,42.510,15.477,2.207,0.453,0.884
17,image.tiff:0290-0147,344,119.520,12.399,118,94,157,147.352,290.776,147.238,290.613,69.250,137,279,20,23,24.029,18.227,120.230,0.901,25.080,41115.000,118,0.710,-2.903,0,41115.000,1,144,279,113.499,19.232,1.318,0.759,0.940
18,image.tiff:0307-0180,423,123.099,12.125,132,94,173,179.606,306.696,179.802,306.539,76.282,170,294,20,26,26.534,20.298,86.800,0.913,27.203,52071.000,123,0.455,0.975,0,52071.000,1,176,320,72.897,20.000,1.307,0.765,0.948
19,image.tiff:0407-0064,137,129.642,14.014,120,103,169,64.858,407.179,64.880,407.251,43.931,58,400,13,14,14.286,12.210,50.181,0.892,15.652,17761.000,129,0.380,0.537,0,17761.000,1,62,414,63.435,12.728,1.170,0.855,0.929
20,image.tiff:0402-0081,240,127.271,17.836,133,94,176,81.367,401.788,81.332,401.768,59.109,75,391,13,22,22.371,13.659,88.122,0.863,22.804,30545.000,128,0.599,-1.824,0,30545.000,1,78,413,74.745,13.000,1.638,0.611,0.952
21,image.tiff:0348-0179,320,136.625,10.256,141,101,165,179.806,348.663,179.830,348.537,70.066,172,335,15,27,27.413,14.863,98.257,0.819,27.893,43720.000,138,-2.227,27.272,0,43720.000,1,176,335,104.534,15.000,1.844,0.542,0.943
22,image.tiff:0380-0178,235,116.885,12.476,107,96,155,178.109,379.487,178.040,379.453,56.239,170,371,16,18,18.397,16.264,94.141,0.934,19.313,27468.000,116,0.194,4.516,0,27468.000,1,174,371,111.251,16.000,1.131,0.884,0.948
23,image.tiff:0372-0154,235,141.255,7.967,143,122,169,154.257,372.202,154.270,372.192,57.829,144,365,21,14,21.631,13.832,167.388,0.883,22.472,33195.000,141,3.709,-84.677,0,33195.000,1,144,368,159.146,14.000,1.564,0.639,0.948
24,image.tiff:0333-0222,323,125.409,15.994,117,95,171,222.593,333.060,222.574,332.581,68.038,213,322,19,23,24.967,16.472,59.844,0.877,26.077,40507.000,124,0.631,-2.954,0,40507.000,1,216,344,57.529,17.445,1.516,0.660,0.943
25,image.tiff:0290-0234,259,150.853,11.684,145,124,197,233.322,291.322,233.135,291.068,65.508,225,279,18,22,25.025,13.177,127.917,0.758,26.627,39071.000,149,0.962,1.597,0,39071.000,1,226,279,124.287,14.803,1.899,0.527,0.920
26,image.tiff:0296-0266,233,133.292,13.406,134,104,177,265.942,296.564,266.010,296.437,56.777,258,288,17,17,17.801,16.665,7.014,0.908,19.723,31057.000,134,-0.446,6.829,0,31057.000,1,258,302,30.466,17.000,1.068,0.936,0.936
27,image.tiff:0374-0209,232,135.750,18.318,144,100,231,209.177,373.849,209.230,373.776,59.448,200,365,19,18,23.283,12.687,44.313,0.825,24.759,31494.000,135,1.460,5.052,0,31494.000,1,200,383,43.363,13.435,1.835,0.545,0.932
28,image.tiff:0364-0239,361,124.496,16.978,111,89,187,239.267,364.965,239.230,364.496,70.805,228,354,23,21,23.647,19.437,146.556,0.905,25.080,44943.000,121,0.923,-2.921,0,44943.000,1,228,360,156.501,19.799,1.217,0.822,0.945
29,image.tiff:0233-0148,396,155.346,35.373,141,102,255,147.884,232.386,148.401,232.950,88.673,134,222,29,22,28.040,17.982,169.040,0.633,31.780,61517.000,145,0.867,-0.098,0,61517.000,1,134,226,155.854,21.479,1.559,0.641,0.808
30,image.tiff:0321-0203,195,148.610,9.087,146,130,179,202.659,321.433,202.669,321.294,55.068,196,311,14,21,19.795,12.543,94.333,0.808,21.378,28979.000,147,1.266,-13.457,0,28979.000,1,200,332,79.216,13.294,1.578,0.634,0.894
31,image.tiff:0242-0266,291,129.134,13.111,130,101,170,266.215,242.314,266.171,241.908,64.353,259,231,15,23,23.686,15.642,85.513,0.883,23.770,37578.000,129,-0.586,9.744,0,37578.000,1,262,254,67.751,15.000,1.514,0.660,0.953
32,image.tiff:0306-0309,140,117.886,15.552,115,97,174,309.307,307.257,309.334,307.191,46.860,304,298,11,17,17.505,10.183,102.349,0.801,18.385,16504.000,114,0.760,5.541,0,16504.000,1,306,298,112.380,11.000,1.719,0.582,0.900
33,image.tiff:0301-0328,207,116.246,8.157,114,101,139,328.234,300.655,328.323,300.606,53.675,320,294,17,15,17.563,15.006,7.630,0.903,18.385,24063.000,115,1.197,-12.379,0,24063.000,1,320,296,157.620,15.000,1.170,0.854,0.954
34,image.tiff:0261-0345,259,123.614,14.789,112,95,178,344.890,260.801,345.009,260.745,59.725,335,253,20,16,21.033,15.679,160.955,0.912,21.932,32016.000,122,0.983,-0.297,0,32016.000,1,335,255,155.772,16.000,1.341,0.745,0.949
35,image.tiff:0276-0379,271,128.262,20.295,122,98,191,379.293,276.478,378.988,276.412,60.921,370,268,19,17,20.598,16.751,28.571,0.918,22.023,34759.000,123,0.878,0.439,0,34759.000,1,370,283,39.472,17.000,1.230,0.813,0.951
36,image.tiff:0252-0373,313,129.556,13.662,128,99,162,373.184,252.334,373.315,252.235,65.435,363,242,20,20,20.992,18.985,45.429,0.919,22.361,40551.000,129,0.468,-3.689,0,40551.000,1,363,257,26.565,19.690,1.106,0.904,0.947
37,image.tiff:0284-0356,222,130.811,12.402,134,102,168,355.932,284.662,355.840,284.816,56.935,349,274,15,21,19.920,14.190,85.982,0.861,21.213,29040.000,132,0.190,-3.238,0,29040.000,1,354,274,98.130,15.000,1.404,0.712,0.925
38,image.tiff:0348-0286,448,136.487,13.117,137,104,177,286.580,348.386,286.362,348.148,87.908,275,332,22,32,34.697,16.440,70.517,0.728,34.928,61146.000,137,0.120,1.720,0,61146.000,1,279,364,66.371,17.713,2.111,0.474,0.901
39,image.tiff:0337-0313,237,127.861,19.608,111,94,192,312.352,337.538,312.465,337.814,58.983,303,329,20,16,21.084,14.312,153.883,0.856,22.361,30303.000,126,0.829,-0.225,0,30303.000,1,303,332,153.435,15.471,1.473,0.679,0.922
40,image.tiff:0365-0304,153,125.078,9.647,125,100,152,303.709,364.768,303.745,364.698,45.924,296,359,16,12,16.147,12.064,0.184,0.912,16.763,19137.000,125,-1.124,19.041,0,19137.000,1,296,362,162.646,12.000,1.338,0.747,0.930
41,image.tiff:0328-0380,271,128.664,11.184,136,99,168,379.264,329.020,379.105,329.022,62.516,369,320,22,17,21.372,16.145,7.979,0.871,22.561,34868.000,129,-1.383,18.744,0,34868.000,1,369,327,167.196,16.835,1.324,0.755,0.936
42,image.tiff:0331-0408,327,126.086,13.628,130,95,158,408.601,332.384,408.711,332.211,68.984,397,321,22,21,23.344,17.835,40.605,0.864,24.166,41230.000,125,0.118,-1.584,0,41230.000,1,397,338,24.444,18.385,1.309,0.764,0.937
43,image.tiff:0338-0425,147,148.585,7.315,148,135,177,425.711,339.201,425.750,339.158,47.349,417,332,16,13,17.710,10.568,30.402,0.824,18.868,21842.000,148,-4.673,126.570,0,21842.000,1,417,343,32.005,11.922,1.676,0.597,0.913
44,image.tiff:0314-0440,275,134.371,16.389,141,101,194,440.082,314.929,439.884,314.785,61.174,431,305,19,19,19.944,17.556,139.993,0.923,21.095,36952.000,135,0.719,-3.763,0,36952.000,1,431,310,148.570,18.385,1.136,0.880,0.939
45,image.tiff:0302-0427,136,138.037,13.249,134,111,172,427.162,301.941,427.257,301.721,42.723,421,295,12,14,14.642,11.827,110.834,0.936,15.652,18773.000,138,1.098,-12.586,0,18773.000,1,424,295,116.565,12.000,1.238,0.808,0.935
46,image.tiff:0283-0437,291,124.416,10.113,126,101,162,437.235,283.043,437.278,283.129,63.748,426,275,22,16,23.238,15.944,163.121,0.900,24.597,36205.000,124,1.497,-16.188,0,36205.000,1,426,278,153.435,16.000,1.457,0.686,0.959
47,image.tiff:0252-0198,182,144.192,18.860,138,102,204,198.978,251.802,198.802,251.608,52.579,190,245,17,15,18.963,12.220,147.565,0.827,20.248,26243.000,142,0.379,2.422,0,26243.000,1,190,248,147.095,13.419,1.552,0.644,0.922
48,image.tiff:0263-0160,194,142.134,17.341,138,110,200,160.938,262.948,161.101,262.950,53.704,151,257,19,13,19.809,12.470,175.603,0.845,19.925,27574.000,139,0.882,-1.382,0,27574.000,1,151,260,162.474,13.000,1.589,0.630,0.913
49,image.tiff:0353-0129,92,141.620,11.043,146,120,169,128.609,353.902,128.561,353.907,36.792,123,349,13,9,13.409,8.735,165.510,0.854,14.765,13029.000,142,-0.848,17.090,0,13029.000,1,123,350,151.699,9.000,1.535,0.651,0.929
50,image.tiff:0374-0111,222,140.104,9.752,143,118,171,109.784,374.635,109.902,374.664,66.676,100,364,22,20,26.944,10.491,138.116,0.628,27.019,31103.000,140,-0.347,11.813,0,31103.000,1,100,366,141.009,11.742,2.568,0.389,0.839
51,image.tiff:0330-0021,120,126.492,13.458,140,105,164,21.808,329.617,21.802,329.411,40.689,15,324,13,12,13.247,11.533,27.904,0.911,14.765,15179.000,124,1.363,-11.483,0,15179.000,1,15,332,28.301,12.000,1.149,0.871,0.913
52,image.tiff:0268-0130,134,142.612,19.394,145,102,197,130.149,268.851,130.495,268.937,44.189,123,262,15,12,14.497,11.769,170.511,0.862,15.524,19110.000,144,0.183,-0.461,0,19110.000,1,123,267,165.069,12.000,1.232,0.812,0.924
53,image.tiff:0225-0196,164,141.854,21.559,152,92,190,196.909,224.927,196.707,224.661,50.581,191,216,11,19,19.302,10.818,103.723,0.806,19.925,23264.000,145,-0.376,-1.241,0,23264.000,1,193,216,107.526,11.000,1.784,0.560,0.927
54,image.tiff:0246-0215,114,155.535,17.550,139,127,216,215.061,246.693,215.138,246.566,42.864,208,240,15,12,16.198,8.961,149.274,0.780,16.553,17731.000,153,1.051,2.747,0,17731.000,1,208,243,154.983,9.815,1.808,0.553,0.880
55,image.tiff:0257-0238,215,160.740,12.971,145,130,192,238.374,256.960,238.255,256.815,54.225,229,249,18,16,17.934,15.264,27.836,0.919,19.313,34559.000,161,-0.656,8.655,0,34559.000,1,229,261,21.251,16.000,1.175,0.851,0.933
56,image.tiff:0218-0229,155,152.039,14.652,145,120,190,229.339,217.803,229.129,217.665,47.724,220,213,18,10,18.789,10.504,4.044,0.855,18.974,23566.000,149,1.008,-8.682,0,23566.000,1,220,220,18.435,10.000,1.789,0.559,0.951
57,image.tiff:0343-0359,140,140.186,10.821,144,119,173,359.957,343.693,360.015,343.659,45.086,351,338,17,11,17.083,10.434,13.270,0.865,18.028,19626.000,139,1.134,-12.344,0,19626.000,1,351,346,19.440,11.000,1.637,0.611,0.915
58,image.tiff:0208-0347,269,144.487,15.652,140,112,190,347.790,208.217,348.025,208.158,66.756,334,201,27,14,25.847,13.251,173.278,0.759,27.459,38867.000,142,0.804,-3.979,0,38867.000,1,334,208,169.509,13.981,1.951,0.513,0.928
59,image.tiff:0207-0413,216,111.894,17.430,99,87,168,413.532,207.583,413.226,207.549,60.209,401,202,25,11,25.003,11.000,176.965,0.749,25.495,24169.000,106,1.177,2.983,0,24169.000,1,401,204,168.690,11.000,2.273,0.440,0.923
60,image.tiff:0201-0439,270,129.263,19.199,110,98,186,439.115,201.200,438.863,200.885,69.977,424,196,30,11,30.442,11.293,177.708,0.693,30.414,34901.000,125,1.202,-2.379,0,34901.000,1,424,198,170.538,11.000,2.696,0.371,0.942
61,image.tiff:0234-0449,395,128.554,15.658,122,99,199,449.386,234.391,449.324,234.476,74.045,437,225,25,19,25.412,19.791,168.543,0.905,25.962,50779.000,127,0.735,0.920,0,50779.000,1,437,230,164.358,19.000,1.284,0.779,0.958
62,image.tiff:0224-0474,310,133.897,15.448,134,101,197,474.558,224.058,474.573,223.739,67.865,462,215,24,18,25.712,15.351,157.228,0.846,26.420,41508.000,134,0.580,0.899,0,41508.000,1,463,218,150.524,16.037,1.675,0.597,0.931
